"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","C","Species richness",16,17.9996738421396,2.71477718481587,16,23.3205393504297
"2","C","Shannon diversity",2.31649446833918,2.31987762476726,0.034175452383535,2.25289496894017,2.38686028059435
"3","C","Simpson diversity",1.59510518090056,1.59526002472794,0.0157486625396031,1.56439321334564,1.62612683611023
"4","N","Species richness",17,18.9997311827957,3.18299334851514,17,25.2382835089159
"5","N","Shannon diversity",2.00133879636775,2.00389384734451,0.0324679044949587,1.94025792388091,2.06752977080812
"6","N","Simpson diversity",1.39307791759495,1.39315153193869,0.0143811228759883,1.36496504904451,1.42133801483287
"7","RA","Species richness",16,16.9998084291188,2.11311618304935,16,21.1414400430442
"8","RA","Shannon diversity",1.71060854003817,1.71340815025938,0.0300667406028464,1.65447842154529,1.77233787897347
"9","RA","Simpson diversity",1.27659395041652,1.27666161028971,0.012205585720233,1.25273910186783,1.30058411871158
"10","RB","Species richness",14,18.4968814968815,4.29607364174113,14,26.9170311096259
"11","RB","Shannon diversity",2.42210486805538,2.43760827519515,0.0845658757521651,2.27186220439981,2.60335434599048
"12","RB","Simpson diversity",1.69022909525112,1.69103852936635,0.0480684804517873,1.59682603888928,1.78525101984342
"13","S","Species richness",16,16.6664890309974,3.09031672857236,16,22.7233985198209
"14","S","Shannon diversity",1.91138692849921,1.91566591688104,0.0335011663894754,1.85000483731759,1.9813269964445
"15","S","Simpson diversity",1.43002521046028,1.4301891276726,0.0174933009284158,1.39590288788219,1.46447536746302
