"species_name_lat","site","A_obs","A_mod","diff","A_obs_rd","A_mod_rd"
"Turdus_merula","C",15.3005464480874,9.49240589141846,5.80814055666894,15,9
"Turdus_merula","RA",4.41176470588235,9.24503421783447,-4.83326951195212,4,9
"Turdus_merula","S",4.54545454545455,8.24648189544678,-3.70102734999223,5,8
"Turdus_merula","RB",7.40740740740741,8.15139198303223,-0.74398457562482,7,8
"Turdus_merula","N",11.7391304347826,9.33513849973679,2.40399193504581,12,9
"Cyanistes_caeruleus","C",8.19672131147541,6.76785000887784,1.42887130259757,8,7
"Cyanistes_caeruleus","RA",8.8235294117647,7.56501388549805,1.25851552626665,9,8
"Cyanistes_caeruleus","S",9.09090909090909,4.93764925003052,4.15325984087857,9,5
"Cyanistes_caeruleus","RB",0,4.43002271652222,-4.43002271652222,0,4
"Cyanistes_caeruleus","N",4.78260869565217,8.69690698385239,-3.91429828820022,5,9
"Fringilla_coelebs","C",8.7431693989071,5.28564297069203,3.45752642821507,9,5
"Fringilla_coelebs","RA",1.47058823529412,6.51632952690125,-5.04574129160713,1,7
"Fringilla_coelebs","S",0,1.03907060623169,-1.03907060623169,0,1
"Fringilla_coelebs","RB",1.85185185185185,0.0621428117156029,1.78970904013625,2,0
"Fringilla_coelebs","N",0.869565217391304,9.20571242272854,-8.33614720533724,1,9
"Dendrocopos_major","C",3.27868852459016,2.51755036549135,0.76113815909881,3,3
"Dendrocopos_major","RA",4.41176470588235,3.11496031284332,1.29680439303903,4,3
"Dendrocopos_major","S",0,0.682697415351868,-0.682697415351868,0,1
"Dendrocopos_major","N",3.91304347826087,4.51044088602066,-0.59739740775979,4,5
"Garrulus_glandarius","C",0.546448087431694,0.571125602180308,-0.0246775147486139,1,1
"Garrulus_glandarius","RA",0,0.511259913444519,-0.511259913444519,0,1
"Garrulus_glandarius","N",1.30434782608696,0.710039142519236,0.594308683567724,1,1
"Pica_pica","C",0.546448087431694,0.40831278806383,0.138135299367864,1,0
"Pica_pica","RA",0,0.526833921670914,-0.526833921670914,0,1
"Pica_pica","S",0,1.34952342510223,-1.34952342510223,0,1
"Pica_pica","RB",1.85185185185185,1.40437924861908,0.44747260323277,2,1
"Pica_pica","N",0,0.691177567467093,-0.691177567467093,0,1
"Certhia_brachydactyla","C",3.27868852459016,1.62946112589403,1.64922739869613,3,2
"Certhia_brachydactyla","RA",2.94117647058824,1.99994599819183,0.94123047239641,3,2
"Certhia_brachydactyla","S",0,1.05280292034149,-1.05280292034149,0,1
"Certhia_brachydactyla","RB",0,0.780544102191925,-0.780544102191925,0,1
"Certhia_brachydactyla","N",0.869565217391304,2.41539872437716,-1.54583350698586,1,2
"Muscicapa_striata","C",0.546448087431694,0.391744655641642,0.154703431790052,1,0
"Chloris_chloris","C",1.09289617486339,1.85012499852614,-0.75722882366275,1,2
"Chloris_chloris","RA",0,1.71882182359695,-1.71882182359695,0,2
"Chloris_chloris","S",0,2.47322273254395,-2.47322273254395,0,2
"Chloris_chloris","RB",0,2.12964224815369,-2.12964224815369,0,2
"Chloris_chloris","N",0,1.99314259365201,-1.99314259365201,0,2
"Picus_viridis","C",2.73224043715847,0.166486336087639,2.56575410107083,3,0
"Picus_viridis","RA",1.47058823529412,0.0896528922021389,1.38093534309198,1,0
"Passer_domesticus","C",1.09289617486339,15.2721909609708,-14.1792947861074,1,15
"Passer_domesticus","RA",10.2941176470588,15.348117351532,-5.0539997044732,10,15
"Passer_domesticus","S",0,15.1767015457153,-15.1767015457153,0,15
"Passer_domesticus","RB",114.814814814815,15.6343669891357,99.1804478256793,115,16
"Passer_domesticus","N",0.434782608695652,14.6518835425377,-14.217100933842,0,15
"Sylvia_curruca","C",0.546448087431694,0.561639172109691,-0.015191084677997,1,1
"Sylvia_curruca","RA",1.47058823529412,0.489317417144775,0.981270818149345,1,0
"Sylvia_curruca","S",0,0.792107820510864,-0.792107820510864,0,1
"Sylvia_curruca","RB",0,0.619829416275024,-0.619829416275024,0,1
"Sylvia_curruca","N",0,0.664994211867452,-0.664994211867452,0,1
"Sitta_europaea","C",1.09289617486339,2.06164169311523,-0.96874551825184,1,2
"Sitta_europaea","RA",2.94117647058824,2.98374223709106,-0.0425657665028201,3,3
"Sitta_europaea","S",2.27272727272727,0.564829587936401,1.70789768479087,2,1
"Sitta_europaea","N",0,3.81815009564161,-3.81815009564161,0,4
"Parus_major","C",22.9508196721311,8.23626721989025,14.7145524522409,23,8
"Parus_major","RA",16.1764705882353,8.36174964904785,7.81472093918745,16,8
"Parus_major","S",9.09090909090909,6.36840009689331,2.72250899401578,9,6
"Parus_major","RB",3.7037037037037,5.74402189254761,-2.04031818884391,4,6
"Parus_major","N",10,9.3072537779808,0.692746222019201,10,9
"Sylvia_atricapilla","C",4.91803278688525,3.80839009718461,1.10964268970064,5,4
"Sylvia_atricapilla","RA",8.8235294117647,3.00018846988678,5.82334094187792,9,3
"Sylvia_atricapilla","S",6.81818181818182,2.55607771873474,4.26210409944708,7,3
"Sylvia_atricapilla","RB",3.7037037037037,1.69972717761993,2.00397652608377,4,2
"Sylvia_atricapilla","N",6.95652173913044,3.19715306162834,3.7593686775021,7,3
"Luscinia_megarhynchos","C",1.63934426229508,1.40335091677579,0.23599334551929,2,1
"Luscinia_megarhynchos","RA",1.47058823529412,0.619903236627579,0.850684998666541,1,1
"Luscinia_megarhynchos","S",2.27272727272727,1.07861363887787,1.1941136338494,2,1
"Luscinia_megarhynchos","N",2.60869565217391,0.938544110395014,1.6701515417789,3,1
