"Culex_pipiens_ss";"Culex_sp";"Aedes_vexans";"Anopheles_plumbeus"
"RB";0;1;0;0
"RA";36;3;0;0
"S";9;1;0;0
"C";29;7;1;1
"N";12;2;0;0
