"site"	"Accipiter_gentilis"	"Acrocephalus_arundinaceus"	"Acrocephalus_palustris"	"Acrocephalus_scirpaceus"	"Aegithalos_caudatus"	"Alauda_arvensis"	"Anthus_trivialis"	"Apus_apus"	"Buteo_buteo"	"Carduelis_cannabina"	"Carduelis_carduelis"	"Carduelis_chloris"	"Certhia_brachydactyla"	"Certhia_familiaris"	"Coccothraustes_coccothraustes"	"Columba_livia"	"Columba_oenas"	"Columba_palumbus"	"Corvus_corax"	"Corvus_corone"	"Cuculus_canorus"	"Parus_caeruleus"	"Delichon_urbicum"	"Dendrocopos_major"	"Dendrocopos_medius"	"Dryocopus_martius"	"Emberiza_citrinella"	"Emberiza_schoeniclus"	"Erithacus_rubecula"	"Falco_tinnunculus"	"Ficedula_hypoleuca"	"Fringilla_coelebs"	"Garrulus_glandarius"	"Hippolais_icterina"	"Hirundo_rustica"	"Lanius_collurio"	"Locustella_naevia"	"Parus_cristatus"	"Luscinia_megarhynchos"	"Motacilla_alba"	"Muscicapa_striata"	"Oriolus_oriolus"	"Parus_major"	"Passer_domesticus"	"Passer_montanus"	"Parus_ater"	"Phoenicurus_ochruros"	"Phoenicurus_phoenicurus"	"Phylloscopus_collybita"	"Phylloscopus_sibilatrix"	"Phylloscopus_trochilus"	"Pica_pica"	"Picus_viridis"	"Parus_palustris"	"Prunella_modularis"	"Regulus_ignicapilla"	"Serinus_serinus"	"Sitta_europaea"	"Sturnus_vulgaris"	"Sylvia_atricapilla"	"Sylvia_borin"	"Sylvia_communis"	"Sylvia_curruca"	"Troglodytes_troglodytes"	"Turdus_merula"	"Turdus_philomelos"
"S"	0.15405959	0.01752967	0.07506743	0.079045564	0.2430802	0.01893621	0.01606005	1.373127	0.07556845	0.25368354	0.5814854	2.473223	1.0528029	0.11266228	0.3564403	0.8020186	0.11816742	3.976078	0.1496086	2.09942	0.00130656	4.937649	0.05648692	0.6826974	0.09878353	0.06110156	0.44717428	0.2355536	0.8358277	0.222705007	0.21478315	1.039071	0.3346598	0.03052139	0.06737256	0.000618111	0.02300418	0.21052986	1.0786136	0.136236	0.11880206	0	6.3684	15.1767	1.6855184	0.04675612	0.9835486	1.809525	0.7553925	0.2140049	0.1474703	1.3495234	0.17076087	0.05073377	0.10934555	0.2578692	1.0365547	0.5648296	2.547585	2.556078	0.04269505	0.00011209	0.7921078	1.0095564	8.246482	0.2876958
"RB"	0.10264869	0.002738473	0.04654668	0.007158525	0.1224246	0.0184921	0.02166087	1.7284366	0.06392572	0.09313534	0.4802656	1.799197	0.9299221	0.03204794	0.2301996	1.4424009	0.06321023	4.699555	0.08013004	2.149516	0.021454977	4.808914	0.06291059	0.6626513	0.01683901	0.06768807	0.06054167	0.1306003	0.866181	0.10289177	0.05399824	1.043145	0.2576806	0.00410475	0.02039679	0.009827179	0.002952892	0.04066229	0.4441667	0.08923681	0.07352565	0.002700143	6.047346	15.40972	0.7338892	0.03898121	1.5231466	1.101038	0.1746771	0.1182892	0.0449902	1.0914375	0.11334183	0.01075559	0.06573201	0.1587682	0.5381298	0.573679	2.22983	1.868165	0.01484817	0.014415585	0.4377876	0.7561541	8.244157	0.2353402
"C"	0.05417227	0.027632831	0.51069927	0.521817744	0.5307163	1.26953959	0.02513451	0.2245897	0	0.29686859	0.4710194	1.309615	2.743746	0.81821501	2.3171837	0.2087425	0.22334941	4.126076	0	1.122361	0.125945225	9.767621	0.01507367	5.5414734	0.08016805	0.28875041	0.63405097	1.2925017	6.241601	0.007854094	1.10633826	11.797252	0.9658464	0.1107226	0.02771012	0.097932451	0.045539025	0.72680068	0.68457	0.21002789	0.45492923	0.027372736	10.151937	14.75367	0.5732184	0.53146738	0.3446262	1.001434	1.2037834	2.5400584	0.2201696	0.1425538	0.18368639	0.34844217	0.04024529	1.7814437	0.4442925	5.2274637	3.30338	4.022044	0.04613149	0.4960033	0.2206899	5.960649	10.111589	2.7398713
"RA"	0	0.054815214	0.42856476	0.39894554	0.5962356	0.69913566	0.0148984	0.9296229	0	0.28641358	0.5623913	1.647019	2.1352904	0.58588701	1.4187818	0.6366255	0	4.295689	0	1.393217	0.002506983	7.787199	0.09946921	3.2822902	0.04461201	0.10765619	0.359391	0.9230304	3.8142166	0	0.73042041	6.992308	0.4733063	0.13657695	0.00145144	0.06197352	0.095057741	0.51991659	0.6108686	0.2745114	0.36703813	0.00283816	8.442202	15.43916	0.7019708	0.35970113	0.9327923	1.196612	0.8548418	1.5505049	0.1864689	0.3729784	0.11697877	0.13288693	0.01441623	1.2624142	0.5801855	3.2425938	2.762324	3.028839	0.01286851	0.321095735	0.4469265	3.8849072	9.270768	1.5099947
"N"	0.03344501	0.011418546	0.53808774	0.470581301	0.7241317	0.79865829	0.03771257	0.4710304	0.01224482	0.32217775	0.5149588	1.519662	3.6483861	1.26305322	3.5407784	0.1039617	0	4.408474	0.01060037	0.803744	0.032435352	11.988691	0.07729602	7.8787837	0	0.30385493	0.37863781	2.0395256	8.7986971	0.046851843	1.32991725	16.388966	1.0273598	0.14900373	0	0.111457936	0.1033753	0.91967237	0.6038798	0.26713732	0.52052425	0.02438032	11.411992	13.88584	0.7915133	0.70376647	0.4785281	1.178174	0.6177151	3.7036824	0.2294124	0.4530046	0.08251751	0.33294303	0.16520675	2.5863083	0.7432377	7.0983749	3.256893	3.260956	0.07960643	0.337741805	0.4670618	8.4326115	9.979358	3.0015223
