"site"	"mosq_richness"	"mosq_ab"	"Culex_ab"	"max_temp_Aug"	"min_temp_Aug"	"mean_temp_Aug"	"max_hum_Aug"	"min_hum_Aug"	"mean_hum_Aug"	"MIR"
"1"	"RB"	11	1446	0.8963	33.1	15.1	22.317	97.2	34	67.2789	0.6915
"2"	"RA"	14	5240	0.9567	37.1	14.6	22.9182	100	27.1	70.9733	7.4427
"3"	"C"	12	6135	0.9046	31.1	14.6	21.8415	97.4	35.6	70.9398	6.1939
"4"	"S"	13	3779	0.9553	35.1	14.6	22.1226	100	33.4	70.1845	2.9108
"5"	"N"	14	7490	0.9147	31.5	14.6	21.5528	100	37.7	73.2785	1.8691
