"Culex_pipiens_spp";"Culex_spp";"Aedes_vexans";"Anopheles_plumbeus"
"RB";0;1;0;0
"RA";22;3;0;0
"S";7;1;0;0
"C";22;7;1;1
"N";10;2;0;0
