"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","C","Species richness",14,14,1.15522983741033,14,16.2642088751903
"2","C","Shannon diversity",2.26321830743881,2.26787867974417,0.04780095018932,2.17419053894631,2.36156682054203
"3","C","Simpson diversity",1.67028068500154,1.67062354681886,0.0279195267374461,1.61590227994806,1.72534481368966
"4","N","Species richness",13,13.4998796051047,1.47139655949937,13,16.3837638686997
"5","N","Shannon diversity",2.05942384013849,2.06267655753724,0.0355135307209975,1.99307131636023,2.13228179871425
"6","N","Simpson diversity",1.47629910084586,1.47646847478781,0.0188340199999301,1.43955447390384,1.51338247567178
"7","RA","Species richness",14,15.9991514637251,3.27214521429131,14,22.4124382359211
"8","RA","Shannon diversity",1.85491662708639,1.86121867762622,0.0452071029892392,1.77261438392191,1.94982297133052
"9","RA","Simpson diversity",1.37111014418569,1.37132615142074,0.0209458102863648,1.33027311763246,1.41237918520903
"10","RB","Species richness",12,12.6655791190865,2.73101059205588,12,18.0182615209134
"11","RB","Shannon diversity",2.71860308675311,2.74701501288864,0.126987525947191,2.4981240355463,2.99590599023098
"12","RB","Simpson diversity",2.05530304273392,2.05885322913465,0.0717045639125991,1.91831486633881,2.1993915919305
"13","S","Species richness",12,12.666346922462,2.86349708622848,12,18.2786980813052
"14","S","Shannon diversity",1.95188126558423,1.95785040913765,0.0419913133790095,1.87554894725126,2.04015187102404
"15","S","Simpson diversity",1.53627227824066,1.53666770640372,0.0270118811490817,1.48372539219684,1.58961002061059
