"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","C","Species richness",14,14,1.11521913082529,14,16.1857893312876
"2","C","Shannon diversity",2.26321830743881,2.26787867974417,0.0430077986127299,2.18358494340887,2.35217241607947
"3","C","Simpson diversity",1.67028068500154,1.67062354681886,0.0251742502094315,1.62128292307058,1.71996417056715
"4","N","Species richness",13,13.4998796051047,1.61589308691827,13,16.6669718583318
"5","N","Shannon diversity",2.05942384013849,2.06267655753724,0.0386436131925758,1.98693646744729,2.13841664762719
"6","N","Simpson diversity",1.47629910084586,1.47646847478781,0.0201392425700858,1.43699628467453,1.5159406649011
"7","RA","Species richness",14,15.9991514637251,2.63130553860196,14,21.1564155517057
"8","RA","Shannon diversity",1.85491662708639,1.86121867762622,0.0473308807634194,1.76845185597335,1.95398549927908
"9","RA","Simpson diversity",1.37111014418569,1.37132615142074,0.0227289677814329,1.32677819316336,1.41587410967812
"10","RB","Species richness",12,12.6655791190865,3.29649998537205,12,19.1266003654525
"11","RB","Shannon diversity",2.71860308675311,2.74701501288864,0.119485791199377,2.51282716547359,2.98120286030369
"12","RB","Simpson diversity",2.05530304273392,2.05885322913465,0.066327334196362,1.92885404291923,2.18885241535007
"13","S","Species richness",12,12.666346922462,3.52736803702582,12,19.5798612352504
"14","S","Shannon diversity",1.95188126558423,1.95785040913765,0.0447152627893333,1.87021010451131,2.04549071376399
"15","S","Simpson diversity",1.53627227824066,1.53666770640372,0.0259264683838775,1.485852762125,1.58748265068243
